License,Type,TotalPaid,IsCharging,IsInQueue,DummyValue
11223344,FAST,22519.87,0,0,0
12345678,FAST,127.00,0,0,0
20053042,SLOW,17.11,0,0,0
21339412,MID,133.93,0,0,0
21794617,MID,19.38,0,0,0
22112748,SLOW,147.73,0,0,0
22502659,MID,43.82,0,0,0
22526350,MID,77.45,0,0,0
23321957,SLOW,80.79,0,0,0
23456789,SLOW,22331.57,0,0,0
25497284,SLOW,1487.45,0,0,0
26054912,SLOW,1513.55,0,0,0
26538849,MID,35.99,0,0,0
26920954,MID,142.62,0,0,0
27187646,MID,133.23,0,0,0
28173908,FAST,1567.90,0,0,0
29145178,MID,93.95,0,0,0
29165333,MID,91.41,0,0,0
29450109,SLOW,74.09,0,0,0
29587102,FAST,1544.51,0,0,0
34567890,MID,46113.03,0,0,0
55667788,MID,22425.27,0,0,0
66778899,FAST,22476.57,0,0,0
87654321,MID,22380.27,0,0,0
99887766,MID,22404.97,0,0,0
